Date,SW_Sentiment,TW_Sentiment,SW_Posts,TW_Posts,TW_Impressions,SW_Impressions
2025-02-09,0.5156810526315789,0.5333431578947367,66.26315789473684,146.1578947368421,9275732.315789474,67074.63157894737
2025-02-10,0.5233541666666667,0.5343666666666667,127.91666666666667,257.875,49799695.625,187121.70833333334
2025-02-11,0.5096808333333334,0.5395291666666667,154.16666666666666,350.25,78620117.16666667,243639.125
2025-02-12,0.5196145833333333,0.5433470833333334,144.83333333333334,289.9166666666667,56651876.125,172750.45833333334
2025-02-13,0.5307016666666667,0.54398625,94.875,187.58333333333334,22579204.75,125315.33333333333
2025-02-14,0.5263245833333333,0.5475575,95.04166666666667,210.125,24460531.666666668,94651.41666666667
2025-02-15,0.5245466666666666,0.5484045833333333,37.0,77.25,3736399.7083333335,38422.625
2025-02-16,0.5080804166666667,0.5266225,37.208333333333336,81.20833333333333,3261615.8333333335,45617.666666666664
2025-02-17,0.5141075,0.52545625,66.125,135.75,12234573.583333334,74497.29166666667
2025-02-18,0.519482,0.5514932,85.96,203.44,24988061.76,98237.84
2025-02-19,0.5198591666666666,0.5368366666666667,86.66666666666667,185.95833333333334,31564083.0,143833.375
2025-02-20,0.5152372,0.533536,76.92,179.52,29698944.2,98121.44
2025-02-21,0.5132879166666666,0.5229695833333333,88.125,194.375,21011380.333333332,130899.70833333333
2025-02-22,0.51584625,0.5385604166666667,35.666666666666664,67.58333333333333,2605496.625,33291.583333333336
2025-02-23,0.5153224000000001,0.5369284,43.52,93.92,6486071.28,74540.0
2025-02-24,0.51100375,0.5299604166666666,87.16666666666667,196.125,30347129.416666668,90042.41666666667
2025-02-25,0.5071112,0.5281576,99.28,248.08,29569171.64,86419.2
2025-02-26,0.5137995833333333,0.5352779166666667,139.16666666666666,329.75,53892672.708333336,147691.75
2025-02-27,0.5181574999999999,0.5388041666666666,147.79166666666666,321.5416666666667,36222613.958333336,119607.33333333333
2025-02-28,0.5131424,0.5336652000000001,133.28,282.72,57295607.36,125872.52
2025-03-01,0.5088495833333333,0.5191370833333333,58.041666666666664,120.33333333333333,3895575.9583333335,31052.458333333332
2025-03-02,0.5054824,0.5161892,77.0,164.68,12627692.64,52488.68
2025-03-03,0.50779875,0.5458929166666667,141.75,328.7916666666667,60481430.083333336,126656.20833333333
2025-03-04,0.5122604166666667,0.52240625,144.25,320.9166666666667,56641854.375,140545.29166666666
2025-03-05,0.5107328,0.5283164,130.16,297.44,37894822.92,102731.12
2025-03-06,0.5138758333333333,0.5298933333333333,145.875,299.125,31315253.791666668,109331.29166666667
2025-03-07,0.509806,0.5188992,117.72,264.8,36252689.6,190229.44
2025-03-08,0.5079458333333333,0.5350379166666667,64.08333333333333,147.625,13654542.666666666,77737.08333333333
2025-03-09,0.5050778260869565,0.5231604347826087,103.1304347826087,215.65217391304347,11375166.47826087,59305.34782608696
2025-03-10,0.5114332,0.5344424,152.72,353.16,29524637.04,78346.36
2025-03-11,0.5195379166666666,0.5350787499999999,193.95833333333334,421.8333333333333,63265105.333333336,158676.33333333334
2025-03-12,0.5137312,0.541834,173.08,373.04,51156994.36,126403.56
2025-03-13,0.5100704166666666,0.51973625,157.58333333333334,312.0416666666667,34051995.583333336,84871.45833333333
2025-03-14,0.50819375,0.5308741666666666,99.16666666666667,202.0,37142569.083333336,137913.54166666666
2025-03-15,0.5123468,0.5348404,73.56,161.56,4773511.68,43088.52
2025-03-16,0.5146545833333332,0.527115,92.5,183.66666666666666,12626608.708333334,78997.875
2025-03-17,0.510044,0.5215184,115.76,243.32,20737713.28,94914.28
2025-03-18,0.5140741666666667,0.5329845833333333,164.375,350.2916666666667,35388551.916666664,94731.79166666667
2025-03-19,0.5118320833333333,0.52814375,166.70833333333334,366.375,95944380.75,212367.625
2025-03-20,0.5065648,0.5221948,165.24,371.88,39074964.0,95582.4
